generation,year,suicides_no,population,suicide_rate,HDI_for_year,gdp_for_year,gdp_per_capita
Millenials,2007,167.6857143,1395443.414,8.978,0,5.75147E+11,31348.45714
Millenials,2008,162.7,1371537.071,9.411142857,0,6.29038E+11,33982.88571
Millenials,2009,159.0857143,1341094.871,9.071714286,0,5.53772E+11,29769.85714
Millenials,2010,149.3235294,1353503.191,9.238970588,0.822294118,5.78877E+11,30700.91176
Millenials,2011,190.4848485,1444605.765,10.95583333,0.82530303,6.57566E+11,34342.21212
Millenials,2012,186.671875,1451896.508,10.58054688,0.83190625,6.50635E+11,33868.0625
Millenials,2013,163.2265625,1352527.172,10.59578125,0.8351875,6.74414E+11,35454.90625
Millenials,2014,160.5588235,1360876.441,10.53345588,0.831382353,6.50099E+11,34178.41176
Millenials,2015,174.0865385,1494661.606,10.50692308,0,6.0782E+11,32605.15385
Millenials,2016,52.75,602116.1875,10.959375,0,2.81812E+11,34262.625
Silent,2000,489.9027778,1912317.319,24.6825,0.732305556,2.67674E+11,15722.30556
Silent,2001,326.4214286,1295500.971,29.66892857,0,2.80002E+11,15075.57143
Silent,2002,327.1357143,1311879.743,29.07292857,0,3.05741E+11,16577.65714
Silent,2003,321.6357143,1327764.114,28.63664286,0,3.71653E+11,20194.54286
Silent,2004,317.5075758,1388542.379,26.09613636,0,4.51402E+11,24117.21212
Silent,2005,303.4117647,1368227.294,26.35919118,0.781,4.64045E+11,27115.76471
Silent,2006,301.6287879,1431940.553,24.2530303,0,5.16149E+11,27705.69697
Silent,2007,286.2285714,1408781.321,26.25521429,0,5.75147E+11,31348.45714
Silent,2008,288.1,1429068,25.85085714,0,6.29038E+11,33982.88571
Silent,2009,288.45,1449679.471,25.39814286,0,5.53772E+11,29769.85714
Silent,2010,291.4852941,1519089.287,23.92522059,0.822294118,5.78877E+11,30700.91176
Silent,2011,188.3484848,837520.2121,27.16242424,0.82530303,6.57566E+11,34342.21212
Silent,2012,198.34375,878652.3438,28.06328125,0.83190625,6.50635E+11,33868.0625
Silent,2013,186.140625,859821.3906,28.5640625,0.8351875,6.74414E+11,35454.90625
Silent,2014,193.8529412,873968.4265,28.91941176,0.831382353,6.50099E+11,34178.41176
Silent,2015,207.7307692,1002108.808,28.07153846,0,6.0782E+11,32605.15385
Silent,2016,91.6875,397157.1875,29.859375,0,2.81812E+11,34262.625
